,title,stars,date,r_title,text
10,Cinderella,,31 December 2013,Charming Fairy Tale,"Cinderella (1950)*** (out of 4) Very charming animated feature from Disney about the abused Cinderella who is kept from a Royal ball by her wicked stepmother. Thankfully, with the help from some birds and mice, Cinderella manages to get to the ball where she's a hit with the Prince. Cinderella isn't the most original Disney film when you consider that the story had already been filmed before and I'm sure most little girls already knew of it. With that said, as familiar as the story is, the movie still makes for an entertaining 74-minutes. I think the biggest reason for the success is that the story itself is one I'm sure most little girls dream about and I'm sure many can connect with the lead character. I think the film remains entertaining for boys as well thanks to the supporting players including the mice who easily steal the picture. The battles between the mice and the overweight cat were a lot of fun and there are some terrific sequences with the two including one where two of the mice try to get some jewelry but the cat isn't going to turn them over without a fight. Another great sequence happens towards the end when Cinderella is trapped in an attic and the mice must come to her rescue. The vocal performance are all extremely good with Ilene Woods standing out as the title character. The animation is at the highest level, which you'd expect from Disney. Again, I think this falls well short of being a ""great"" film but there's no doubt that it's fast, fun and contains some memorable characters and a charming story."
11,Cinderella,7,8 September 2013,"""The thing-a-ma-bob that does the job is bibidi bobidi boo""","Not the best of Walt Disney's feature length animated films, but any film that has Bibidi Bobbidi Boo and A Dream Is A Wish Your Heart Makes has to rate as good in anyone's standards.I saw this for the first time as a small child on Walt Disney's Disneyland hour and it was as effective on the big screen as well as the small. I don't think there's anyone who is literate in the western world who does not know the story of Cinderella. The story is intact and kept in the mythical medieval times it was written for.As a subplot to the main story we have the story of Cinderella and her relationship with the animals around the house. The pecking order is dog, cat, mice with a horse thrown in for good measure. Naturally the evil stepmother who is voiced by Eleanor Audley has the cat as her favorite. What does that say about us cat lovers.Ilene Woods voices and sings A Dream Is A Wish Your Heart Makes which Perry Como made a big hit record of. Bibidi Bobidi Boo is sung by Verna Felton who voices the Fairy Godmother. She's unforgettable in this role although she's better known as Hilda Crocker, Spring Byington's Ethel Mertz on December Bride. This is one eternal film that I hope my niece let's my new grandnephew check out and his sister or brother to be."
12,Cinderella,10,4 March 2002,A deeply beloved animated classic,This is very easily one of my Disney animated films ever made because it is such a delightful adaptation of the classic fairy tale.  The characters are a lot of fun to watch and the story was handled excellently.  The songs in the movie are also very good to listen to and fit perfectly into the movie. I strongly recommend it to any Disney fan.
13,Cinderella,3,4 July 2006,I know I'm going to take heat for this...,"but ""Cinderella"" gets my vote, not only for the worst of Disney's princess movies, but for the worst movie the company made during Walt's lifetime. The music is genuinely pretty, and the story deserves to be called ""classic."" What fails in this movie are the characters, particularly the title character, who could only be called ""the heroine"" in the loosest sense of the term.After a brief prologue, the audience is introduced to Cinderella. She is waking up in the morning and singing ""A Dream is A wish Your Heart Makes."" This establishes her as an idealist (and thus deserving of our sympathy). Unfortunately, the script gives us no clue as to what she is dreaming about. Freedom from her servant role? The respect of her step-family? Someone to talk to besides mice and birds? In one song (cut from the movie but presented in the special features section of the latest DVD) Cinderella relates her wish that there could be many of her so she could do her work more efficiently. You go girlfriend! In short, Cinderella is a very bland character. She passively accepts her step-family's abuse, escaping into her unspoken dreams for relief. She only asserts herself once by reminding her stepmother that she is still a member of the family. For this, she is given permission to go the ball if she completes her housework and finds something to wear, a token gesture that is clearly absurd to everyone except, of course, Cinderella. Can anyone see Belle or Jasmine being such a doormat? If Cinderella is dull, her male counterpart is nothing short of lifeless. The Prince in Cinderella gets no dialog and almost no screen time. We are given no indication if he is a good man, if he respects Cinderella or anything. All we know is 1) he is a prince and 2) he dances well. Heck, even the prince from ""Snow White"" got to sing a romantic song at least. Not only does this lack of development make the romance less interesting, it makes Cinderella look like either a social climber or an idiot, weakening her already tenuous appeal.Perhaps realizing how dull the main characters were, the animators chose to give excessive screen time to the movie's comic relief, Cinderella's friends, the mice. Granted, these characters are amusing. Even so, when the comic relief steals the show from the principals, well, let's just say your story has some problems.Dinsey loves to proclaim all its animated features as ""masterpieces."" While many of them are, there are some that do not deserve this appellate in any way. Cinderella is a prime example of this fact."
14,Cinderella,,12 January 2016,"""Poor Cinderelly!""","Classic Disney adaptation of the Cinderella story. It's a charming, lovely fairy tale with romance and quite a bit of humor (perhaps too much for some tastes). It's not very fashionable today but it's one of those films that has stood the test of time and will continue to do so, long after one generation of whiners and malcontents has been replaced by another. The voice work is wonderful and the music enchanting. The memorable songs include ""A Dream Is a Wish Your Heart Makes,"" ""Bibbidi-Bobbidi-Boo,"" and ""So This Is Love."" The animation is the strongest selling point. It's Golden Age Disney, so you know the characters and backgrounds are well-drawn with rich, gorgeous colors that really pop. The only negatives are the story's familiarity and a little too much comic relief provided by Cinderella's animal friends. It's a beautiful story, told in that inimitable classic Disney style. Recommended for everyone who isn't a cynic at heart."
15,Cinderella,8,21 February 2012,What is the secret of Cinderella's charm?,"Ah, the Charming Prince  Charming because he's tall and handsome, and Prince as the son of an authoritarian figure, powerful and rich enough to guarantee a material comfort and young enough to have no responsibilities whatsoever and full time to have fun with his beloved one well, there's a reason why this myth is still persistent in many girls' minds.But let's not get too cynical, I guess there is another reason why ""Cinderella"" is one of the most famous and universally appealing stories, beyond the originality of the plot with the famous midnight strokes and the fancy ball dress, there is a simple and inspirational message. On the surface, it's about a young beautiful girl who'll get the Charming Prince thanks to something that makes her completely unique, but we all know it's the fairy tale definition of the wags to riches concept that paved the way to many underdog stories, providing hope for both women and men. Capra owes a lot to ""Cinderella"", ""Rocky"" is a 'Cinderella' story and it's not surprising that such a feel-good tale ended up being adapted into the (how fitting) twelfth animated Disney film, in 1950.Now, is it accidental or logical that Walt Disney's ""Cinderella"" got itself the ninth place in the American Film Institute's Top 10 Animated films? I'm inclined to say both, not to diminish the merit of the film, but just to remind that there were many other Disney animated features that deserved this place, ""The Jungle Book"", ""Sleeping Beauty"" to say the least, or how about ""The Little Mermaid"" or even a forgotten classic non-Disney film titled ""Gulliver's Travels""? Yes, there is an interesting divergence between the film's recognition and cultural status and its content, which is relatively banal considering the glorious collection of animated masterpieces the Disney Studios provided. I'm not saying I'm not a fan of ""Cinderella"", but I might be biased because my favorite version will forever be from Tex Avery, I'm talking of the legendary ""Swing Shift Cinderella"", which always made me howl of laughter.I also was never a big fan of Disney princess-themed films, which I thought were too formulaic and never contributed to something new since ""Snow White and the Seven Dwarfs"". Anyway, I had the recent opportunity to watch both ""Sleeping Beauty"" and ""Cinderella"" and somewhere while viewing the second, I had to reconsider my opinion because something was strangely appealing to me I couldn't point my finger in. Was it Jacques and Gus, the funny little mice? Maybe. Was it the scene-stealing sequence featuring the Fairy Godmother, the pumpkin carriage and the unforgettable Boobiddy-boos? Probably. Or was it the intimidating Stepmother, Lady Tremaine and her shadowy bitchy look? Yes, I guess so. But still, we can find the same elements in other Disney classics. So I finally realized that the secret in ""Cinderella"" simply depended on the appeal of its titular character.In many aspects, Cinderella embodies the same condition than Snow White, but there is something fresh and modern in her personality that appears right in the first scene, she's not overly romantic and she doesn't take her work as a servant without detachment, even humor where am I going with that? Simply that we never feel sorry for ""Cinderella"", as she's not portrayed like a victim, something intelligently hinted in the early scenes. Take the first confrontation with the stepmother, when she's unfairly punished: Cinderella's eyes betray a feeling of true anger, anything but a desire to cry. When she learns that she might be the bride, she's so hypnotized by love that a beautiful smile enlightens her face, and she looks incredibly sensual. ""Cinderella"" is modern by today's standards without the archetypal free- spiritedness disguising a real spoiled personality a la Ariel or Jasmine. Cinderella is modern because she is practical.This is important because the obligatory supporting characters fulfill their roles, the stepmother and her ugly daughters are the perfect contrast for Cinderella but the movie mostly works because it didn't forget to have a central character, realistic enough to inspire our empathy and needful enough to give the characters a moment to shine, whether it's from the precious help from the cute chipmunk-like talking mice or the providential help of Bruno, the brave dog. And another interesting thing about Cinderella is that for once, it doesn't need dragons, or killings to be entertaining, and although the last act is set in a house, it's an efficiently suspenseful climax, carried by the memorable character of the Grand Duke who's charged to try the shoes on every eligible girl.The Grand Duke is an important character not just for his comical pairing with the King, but also for the way he inspires the most evil action from the stepmother, when she makes him fall and break the shoe, her look says a lot about how she doesn't give a damn about one's life as one of the most truly despicable villains from a Disney film (who'd call a cat Lucifer anyway?) and coincidentally It also allows the heroine to own her by giving the other shoe, which was already proving that she was the one. The close-up on the stepmother's face at that very moment is the highlight of the film as it finally puts an end to Cinderella's torment. The film doesn't forget to be a fairy tale, yes it's all about the myth of the Charming Prince, but the key that forges Cinderella's appeal is that she's not a passive character.And they lived happily after  despite the predictable conclusion, ""Cinderella"" remains a timeless classic that gets in fact, better after each viewing, so there's no use to ask what the secret of Cinderella's charm is, the answer is in the question. It's precisely the unique charm of a universally, timelessly and (might I add) physically appealing character."
16,Cinderella,4,28 May 2013,Not that great... feels like tom and jerry,I really wanted to like this movie but it is not romantic or classic. It adds nothing to the basic story of Cinderella that we have always heard. The scenes are very pretty and the animation is very good but the most part of the film focuses on the mouse-friends of Cinderella and the mean cat belonging to the step mother. It feels like tom and jerry and by the end of the film you are too tired of watching the animal characters. As another reviewer has mentioned there is no background given of Cinderella or any insight into who she is or what she is all about and no screen time what so ever to the prince himself. It starts well and then gets very very bland. The fairy Godmother is very lovable and so is the King but there is nothing that Cinderella herself brings to the movie. I would recommend watching Enchanted instead.
17,Cinderella,,13 September 2008,Slippery,"Recently, I watched ""Snow White"" and was amazed again. So I had to follow it with this, which is a sort of nadir in the art of film. The story, is actually every bit as promising as ""Snow White"" was. In fact to my mind it is better.Unjust subordination. Magic. Love at first encounter. A sexual union. Loss (magic again). Search. Reward.Now, in the source stories, there are plenty of versions that were explicitly bawdy in the search and what was attempted to fit into what among all the eligible maidens. But even without this, there is plenty of room for fable elaboration. You could take this in many, many directions. These things are clouds of rich quantum possibilities.What does Disney do? Insert Tom and Jerry sequences. Where ""Snow White"" pulled short cartoons into long form film, this pulls by then well established long form animation back into short cartoon form.Ted's Evaluation -- 1 of 3: You can find something better to do with this part of your life."
18,Cinderella,6,19 January 2006,Midnight never strikes when you're in love.,"Cinderella is one of the Disney classics that I watched in my childhood. I was never a big fan of Cinderella and in my opinion, there are many better movies from Disney than this one,like Aladdin,Little Mermaid, Lion King, Beauty and the Beast.Bbut I think Cinderella deserves some credit, since it is an important and very famous film. The story is about the beautiful Cinderella, who lost her parents when she was a kid and had to live with her cruel stepmother and bad ''sisters'' Drizella and Anastasia.(Her stepmother's daughters)Always treating Cinderella bad and making her a servant, the bad stepmother always try to ruin poor Cinderella's life. One day,the King determines that his son the Prince needs to find a bride, so invites every eligible lady in the kingdom to a fancy dress ball,where his son will be able to choose his bride. Cinderella's stepmother does not want to let her go, but Cinderella's Fairy Godmather will help her, making the prince and Cinderella to meet, and many problems to start."
19,Cinderella,9,5 January 2013,Charming and delightful,"This was such a charming and beautifully made animated film.""Cinderella"" is everything that an animated fairy-tale should be. It was delightful and highly enjoyable from beginning to end, showing in every single scene form this movie a ""magic"" that most of the animated films from the recent years lack, with wonderful designs and a exquisite level of detail in every frame.Personally, I consider this movie to be the best adaptation of the classic fairy tale written by Charles Perrault. Movies like ""Cinderella"" shows why the time when this was made was considered ""The Golden Age of Animation""."
20,Cinderella,5,8 December 2013,It's Disney.,"First of all, let's discuss the positives of this film, namely the production value. The drawings and the animation are gorgeous, and the music is catchy and perfectly-crafted. It's not for nothing that people speak of ""Disney magic,"" and what else would come to mind but a fairy godmother and a beautiful girl? Disney's Cinderella is certainly a cultural icon.And that's really unfortunate for our culture. Because, you see, the writers of the script decided to favor the synthesis of the eye candy magic over the essence of the original story. Disney's Cinderella appears to be an unwilling captive in a situation so bad we cannot understand why she does not run away: she IS shown to be of at least moderately illustrious ascendancy and surely she could at least start out in a more worthy setting somewhere else before her masters take note that she's perhaps issue of an education not quite comparable to that of the other scullery maids?Charles Perrault's Cinderella was rather clearer on this point. Cinderella loved her father and even though his second wife and stepdaughters were cruel to her, she stayed behind to look after them out of love for her father, knowing he wanted his two families to love each other and to meld together. This is made clear at the first ball (in the Disney version, there is only one, and the story is robbed of commensurate death): the prince takes notice of Cinderella and gives her a plateau of oranges and lemons (a rarity in 17th-century France), and she immediately finds her stepsisters and shares the dessert with them. The message is that Cinderella had it all to move up in the world, deep interior beauty as well as outer beauty, and just a little bit of divine intervention (through her fairy godmother) cleaned up and allowed people to look past an otherwise soot-laden exterior. She was noble both in birth and in character and she deserved the royal treatment she ended up getting.But Disney's Cinderella does... nothing. Not even talk. And she gets the prince's attention. And what, did she just leave her father's second family behind once she got into the palace? Not that they didn't deserve it (they deserved much, much worse, of course!). But the whole meaning of the original is lost. Her stepmother and stepsisters are not seen at the wedding. Disney's Cinderella is just a pretty but ordinary ""nice girl"" who happens to be of noble birth and possesses little gray matter.What's the point?? I mean, seriously, this stuff is porno for little girls. Yes, everyone wants to move up, everyone wants to be royal. And I'm NOT a feminist. But this kind of passive corset-stringing is not a good role model. The message is, ""Bide your time and be pretty and someone will come to rescue you."" What about developing the kind of loving and thoughtful character and self-esteem that will attract a decent man - and touch the lives of others while you're at it?Overally, really not a constructive addition to the film canon, whatever its technical merits."
21,Cinderella,2,9 May 2016,A very problematic Disney classic,"I'll receive many fingers down, but I need to be true to myself. As a child, I watched Cinderella oftentimes - I had a VHS. It is without doubt one of the most famous Disney classic, was a resounding success when released and was the film that saved the Disney studio going bankrupt. But leaving its historical significance aside, watching Cinderella today as an adult, I realize how this animation is problematic.To start, this movie has several scenes of secondary characters just for comic relief - the mice and the cat - what absolutely does not contribute almost nothing to the central story, feeling as a filler. Disney princesses films have a tradition of have fantasy stories, with lots of magic involved. But discarding the scene in which the fairy godmother appears to sing the song ""Bibbidi Bobbidi Boo"" (undoubtedly the pinnacle of the film) and the scene where the clock rings and Cinderella flees the Prince (which, together, does not reach even ten minutes), there is absolutely no magic remnant throughout the rest of movie - ever stopped to think about it? 80% of the movie, we just have Cinderella and mice in the stepmother's house doing trite and mundane things, or scenes with the King in the castle dreaming of grandchildren. Boring.Then we have a poor character development. Disney's Cinderella is not a good example of woman and heroin. She's a bland character, accepting mistreatment with passivity, and she always need others to get it out of their problems (mice, fairy godmother, the prince). Cinderella never changes the situation for herself. She falls for the guy just because ... he dances well? In no time the prince's personality is shown; we do not know if it will be a good husband to her, not even Cinderella have this certainty, but who cares, if he is rich, beautiful and is a prince, isn'it?And we have the animation, which is a bit disappointing. Unlike the beautiful painting that was Snow White (for its time), or stylish, graceful and unique backgrounds of Sleeping Beauty, the animation in Cinderella doesn't have anything extraordinary for a studio like Disney, and there are times really ugly looking. To this day I don't understand why the hell the animators don't draw toes for Cinderella. We're talking about a movie that the ""feet"" have considerable importance, are not we? Instead, we have a hideous ""close-up"" Cinderella wearing her shoes with her feet like a surfboard, or a quick sketch of a foot. I always thought it was horrible when I was a child. I mean, even a child of five years, to draw a foot, would have the decency to do ""risks side by side"" to represent toes.Seriously, Disney. You could have done much better.I gave two stars just for the excellent and beautiful animated sequence ""Bibbidi Bobbidi Boo""."
