,title,stars,date,r_title,text
10,Song of the Sea,9,19 February 2015,"Boasting beautiful traditional animation and a nice Celtic brother-sister story, Song of the Sea is a nice fantasy","A vacation to a recurring place, like that cabin in the mountains you visit once a year, is one of those nostalgic memories that you treasure so much that you'll try hard to recreate it when your turn comes to be a parent. For most, there are either mountain people or beach people; one set enjoys the sea air and playing in the sand while there are those that prefer the smell of pine and the wide openness of nature. I've had the privilege to have both, though I consider myself more of a beach guy.One place that my parents would take my brother and I (and still do to this day) is the lovely Laguna Beach. The conflicting scents of sunscreen and ocean water give me such a relaxing buzz that I can't help but feel that the sea itself calls to me. Being about to observe the tide corals and touch them, as well as sticking my feet in the water just seems to define Southern California. It's such a laid back atmosphere and it's something that I hope to observe more in the future. The call of the ocean is the subject in Song of the Sea. It's set in Ireland where we find a family living on an island in a lighthouse where a young boy named Ben loves his life with his lighthouse keeper father and his mother whose ready to give birth to a daughter. One night she disappears into the sea but the daughter is born safely. The father becomes distant from his kids out of guilt that he couldn't have saved his wife, leaving young Ben to care for his sister. Six years later, the girl, named Saoirse, has yet to speak and easily frustrates Ben as he's remained fearful of the ocean water and forbids her to enter it. The two are your typical brother sister set who tend to fight and play pranks on each other, even though Ben is usually the troublemaker. Their grandmother comes to visit on Saoirse's birthday and tries again to persuade her son to let the grandkids come live with her. Things seem to go fine until Saoirse finds her mothers seashell that was given to Ben. She finds that when she plays it, a magical force leads her to find a coat where upon wearing in the sea, will allow her to turn into a seal. The incident convinces the father the kids might be better off and send them to their grandmother. The kids don't like the arrangement and set off to return to the lighthouse while coming across some other mysterious Celtic legends. The team behind this picture also made the previously Oscar nominated Secret of the Kells. As with their last film, Song of the Sea is beautifully hand drawn, which is something we really need more of. Some say that computer animation is all what people want, but I think if marketed well, this would have done as well as a regular Disney movie (maybe not Frozen levels, but a lot).As a story, Song of the Sea is a nice coming of age story that nicely shows a genuine relationship of brother and sister. A lot of the brother-sister sets we see are usually fighting or really close, yet this one is a bit a both, and because of that, feels more real. I too would be just as stressed should my sibling have never talked. The legends of giants turning into stone islands, trolls living in cities and owl witches are fun to hear about and have a timeless quality that more Americans should hear about. That might be the Irish ancestry inside of me but what are young gonna do?I'll give this nine seashell flutes out of ten. Song of the Sea has plenty of mysterious fantasy without any unnecessary pandering that one might receive from Nickelodeon. This is a film a highly recommend to not just families, but to those that have had a sibling."
11,Song of the Sea,,19 March 2015,Sweet,"It's so great that such a small film like this will now get seen because it got nominated for an Oscar, whereas if it had not it would've gone very much underseen. I have to start off by saying that while the voice acting here is decent (surprisingly a little underacting by Brendan Gleeson), the sound mixing and sound editing is truly spectacular. At times the sounds were so real that if I closed my eyes I would really believe I was near the ocean. The animation as well, for being an independent film, is truly beautiful. Simple, but the colors are really vivid and strong and they have a great effect. Overall, the film is just gentle and joyous and so hard to dislike. It's a bit light, but harmless."
12,Song of the Sea,7,28 October 2014,Hopefully a contender for an animation Oscar nomination.,"Director Tomm Moore's followup to his Oscar nominated debut The Secret  of Kells certainly has the potential to follow in its footsteps if it  can reach enough of an audience. Song of the Sea adapts the Selkie  legends and takes them one step further. I'm quite familiar with the  story having spent the last year of my degree writing a short film  about it, but Songsubverts the mythological and tells a sequel of  sorts. The story is essentially Beauty and the Beastplus The Little  Mermaid, wherein seals turn to women and fall in love with men on the  land, staying with them until they are called back to the sea.  Beginning at the end of the tale, the mother Selkie, who has wedded a  human fisherman and already had a baby boy with him, is pregnant once  more. About to give birth, she relents that she has to go back to sea  and sacrifices herself to leave a baby girl to the remaining family. It  jumps six years into the future. The older brother, Ben, resents his  younger and mute sister, Saoirse, for their mother having to leave them  for good. At odds between their home by the rough treacherous sea and  their fussy Grandma who wants them to live in the city, they're forced  away from their distraught father (voiced charmingly by Brendan  Gleeson) and their dog to live with her.  Immediately reluctant to settle, they begin their journey home and  discover that the ancient stories and characters their mother told them  are true. As a half-Selkie, Saoirse has the power to save a race of  trolls turned to stone, and Ben has the responsibility of making sure  she meets their goal. The theme is overt, bottling up emotions turns  you to stone, but the truth in that is powerful. There's a very  delicate storybook quality to the film. Perhaps mostly due to the  simplistic and now refreshing 2D animation style that glitters  beautifully with its swirls, but also in the episodic way the story  unfolds. It is quite pedestrian in its traditions and obviously  contrived in its storytelling, one ostensibly accessible for children,  but the emotional honesty and depth of the characters make it engaging.  It has at least a sprightly spirit of adventure.  Granted, side characters are often eccentric for the sake of being  eccentric. Though they do have the type of elasticity we haven't seen  since the Disney films of the 60s and 70s after they've become more  reserved in the 90s. The elegant style owes a debt to Ghibli films, but  I'm not a big fan of Hayao Miyasaki outside of his craft and I  preferred this more identifiable approach to the fantasy. Fortunately,  among all the fantastical elements it has a very grounded sense of  humour rather than an often irritatingly quirky one that a film like  Frozen boasts and it makes it a much easier film to invest in. With its  overwhelming ending, endearing characters, and lovely Celtic music,  Song Of The Sea a thoroughly pleasant and poignant experience. The film  won't be big enough to contend for the Oscar win, but with any luck  we'll see it on the shortlist and in the top five.  7/10"
13,Song of the Sea,6,10 April 2015,"Great visuals, but so-so story.","Like most hand-drawn animations, they are often quite the treat to look upon, this is no different. It uses a ""watercolors"" type aesthetic although much cleaner. I wouldn't say it's the same as anime, but it share some similarities, like how the backgrounds are usually hand-drawn and the characters are drawn digitally (they still fit very well into the scene though, which I can't say for some anime's).The story takes inspiration from Irish folklore, primarily with the ""Selkie"". A creature who becomes a seal in water but human on land. One of the two main characters, an odd mute girl is one of these creatures.The folklore inspiration work quite well, however as far as the story goes - It leaves a little to be desired. It seems somewhat uninspired without anything to make it truly stand out. It'll probably make an excellent kids movie, and one that is very gender neutral. I have however seen much more sophisticated storytelling within these kinds of movies. It's not at all bad - just.. bland. The visuals though are still enough to warrant seeing this movie if find them appealing."
14,Song of the Sea,10,29 May 2015,562nd Review: Oscar Contending Masterpiece,"Song of the Sea is a singularly exceptional film. It hides complexity in both story and fabulous art behind a simple, beguiling tale of two children, Saoirse and Ben, their father, Connor, their mother Bronach, and a very adorable dog, Cu, who struggle to cope with loss, and find in magical realism a way to understand and find the world afresh.Using superb metaphors and meaning from Irish folktales and legends the film can be viewed on one level simply as an adventurous fairy tale set in modern times, but viewed deeply, it speaks deeply to the human condition; and for this viewer is one of the most singular films of the decade. It is fun, funny, and sorrowful and, importantly, as unpatronising as children themselves. It is totally suited to all ages, including very small children, who will adore the seals and Cu, and adults, and even teenagers, who may be enticed to see something more. It is this aspect of understanding the human condition in Tomm Moore's film that lifts it from another animated film to the absolute finest cinema. Yet he does so with such a light touch that many viewers will accept the magical realism and simply enjoy the charm and whimsy and be swept along. However, it also poignantly asks if happiness can exist without sorrow, and given the choice, would we want to live without either or both, and does so with some terrific touches. In addition, here is a world of sublime artistic technical skill and excellent voice acting - the film is hand-drawn and was 4 years in the making - the detailing with swirls and lines in the backgrounds and the tiny movements, while still keeping a simply line drawn animation, deserves multiple viewings. Tomm Moore has with this and Secret of Kells turned Irish animation into a world class powerhouse. This is not American or Japanese, Moore has successfully defined in two films, a unique approach that marries Celtic line art with simple 2D animation and a non-vibrant colour palette and has created a new school of animation.This is a great film - several critics pounced on Kells for a lack of a defined story, here they cannot possibly complain: the interweaving of Irish legends with the modern day, is both inspired and strong. Also strong is a wonderful sly sense of humour and real, not forced, emotion. It is both entertaining and deep - and works.Finally, it is the meaning and value of family and above all, the place of the mother, that makes Song of the Sea exceptional - I have seen few other film that explores loss with such wonderful metaphors as this, and certainly none as beautiful and with such a light touch as this. It is constantly surprising, full of wonder, and is, in the best sense, simply magical. Above all, it never defines where reality ends and magic begins and that is its real magic."
15,Song of the Sea,6,3 March 2015,Anyone else think this doesn't actually make any sense?,"Song of the Sea has beautiful visuals throughout and is always a treat to look at. It's an intimate fantasy tale of a family living in the wake of their mother having went into the sea because she's a creature thing to become a creature thing. Now the brother and sister must get back home from their Grandmother's house and also solve the fantasy thing because the girl is a Selkie (half-seal) like her Mom was. This movie didn't really make sense to me.Watching the movie is a nice experience because the images look like well-crafted, detailed drawings like a painting from a children's book. But beneath these visuals is a story that feels like it makes enough sense to pass off, but I can't figure out why anything really happened. To put it best, this movie made up its own rules as it went along. It's like someone is telling you a bedtime story that they're just making up as they go along. It lacks proper stakes and explanations for why things in its fantasy world are the way they are. I'm not just trying to nitpick, here. Towards the beginning, I was getting a hint that this story didn't have anything at stake. They want to get home, and separately, the girl is discovering that she is a seal creature. With this discovery, which happens out of nowhere, she has a task. What is this task? She has to un-stone creatures and fairies from this fantasy world that she meets as if she is a chosen one, but she isn't. We don't know why they want her specifically or what she is getting from them by doing this. We don't know what it means for her to be a Selkie. We do know that she is going to die for some reason if she doesn't do it. So what are her tasks for accomplishing this? The one thing that makes sense is that she has to get a coat from her house, but most of the story is the two siblings wandering wherever in this fantasy world. She has to follow some little shiny things and then she'll solve the fantasy thing. I call it the ""fantasy thing"" because she's not really solving anything at all. She's just going on a thing that she needs to do because the movie said so. There's a shell that she plays that makes bad things go away when convenient, established by the movie when needed. There's a water portal in a house in the middle of nowhere that leads to a guy whose beard grows and I guess each strand tells a story. I don't know what this guy did for the story or for the characters. There are seals who help the characters ride to where they need to go in the ocean just because. The pieces in this story add up to what looks like a proper film but they don't actually make any sense, and therefore mean nothing. Unlike other fantasies, this one establishes its rules on the spot and without any grounding. By the end of the movie, I had realized that no explanation was coming for me, and that this movie simply didn't make sense. I can't say, however, that it was unpleasant to watch. The characters, while not that developed, were nice to watch and had loving relationships with one another that gives the movie some emotion. The score, I should mention, is very very good. I had a warm feeling while watching much of it, but it's hard for me not to be weighed down by its lack of making any sort of sense, and I have a hard time believing that apparently no critics see this."
16,Song of the Sea,5,13 July 2016,Expects you to know a lot about Selkies going in,"First off, I myself found this movie pretty boring. It's a story about a boy whose sister is a Selkie (a mythological seal person which I knew absolutely nothing about this myth going in and that hampered the movie immensely)Yes, I understand that this is an Irish movie, and I am sure that every kid in Ireland knows the mythology of Selkies, but as an American....I never learned about Selkies and this story does a TERRIBLE job explaining what they are. They tell you some facts, but leave a lot to 'you should have done your research before you started watching this'. This type of story is when a 'fish out of water' protagonist would have worked. But because everyone in the story knows what Selkies are, they don't feel the need to explain it. The main character finally gets the revelation and goes 'you're a selkie!' and i am there going 'that's fantastic.....what's a selkie?' The only reason I had any idea what was going on with the lore of this was because I watched this with my sister and she informed me the rules of Selkies that she learned from A different movie entirely. That is one of the places where the movie falls incredibly flat. You can't introduce such a foreign concept and just assumes everyone will know it because it is premiered in that country. If you wish to have a worldwide audience, you have to explain your lore thoroughly so no one gets left behind.Other than that, I really didn't care for any of the characters. The girl was quiet and annoying, the boy was uninteresting, and the mother was a terrible terrible person. I know everyone is heralding this movie as wonderful and beautiful, but I have to say that I didn't really enjoy it. I was too confused about the mythology and the characters weren't interesting enough to draw me in. The father was a jerk and the kids were boring. It wasn't a TERRIBLE movie I just....didn't care. And that's almost worse than being bad. I'm probably going to get a negative response as I didn't give this movie an amazing score, but, I can't help how I feel. I didn't enjoy it and a 5 is exactly what I feel it deserves."
17,Song of the Sea,9,16 July 2015,Breathtaking Animation and An Emotional Story,"From the opening sounds as we first hear the hypnotic ""Song of the Sea"" it is clear that this film is something special. It's a Celtic song that a pregnant mother sings to her 4 year old son to tell the tale of the Selkie, a mystical creature with the power to live as a seal at sea and human on land with the ability to carry the spirits across the oceans. Shortly after this he wakes to find his father clutching his new born sister in his arms, with his mother disappeared.6 years later, the young boy named Ben (David Rawle) has grown to be a grumpy child who has been raised by his father Conor (Brendan Gleeson), neither of whom have been able to get over the loss of a mother and a wife. He's raised along with his sister Saoirsie who has yet to speak a single word despite nearly reaching six years old. But the relationship between Ben and his sister is troubled, as he often treats her with much disdain and distance. He loves his sister as any brother would, but blames her for the loss of his mother at the same time causing him to to act out at times. This difficult situation leads to the children's grandmother (Fionnula Flanagan) to take them to the city of Dublin, away from the lighthouse and the sea in the hope of having them finally recover. But Ben misses his home, with the lighthouse being one of the few things left to connect him to his mother and sets off to journey home. On his journey he encounters the mystic creatures of Irish folk lore that he was enamoured with as a child from giants made of stone to an aged creature who contains the memories of every mystic creature in his long beard. From these creatures Ben discovers that his sister is a selkie and he must return her to the sea so she can sing the selkie's song to release the souls of the mystic creatures.Unlike the standard computer animated films that have become too commonplace, Song of the Sea is lovingly drawn with hand drawn animation. It's truly imaginative in its visuals at times creating beauty in the mundane through creating the streets of Dublin and having gorgeous bright lights engulfing the town at night. At others it creates the mystic land of the sea and the sight of the seals swimming majestically against the rough waves or giants emerging from the ocean's depths. It is constantly beautiful and carries with it stunning attention to detail bringing the world to life through incredible touches including dust particles floating in the sunlight, creating a world to behold through its more traditional take on animation. Whilst the film explores the entirety of Celtic legend, the core of the film remains its characters and how they deal with their bereavement and depression. Each character deals with their pain in a different way with some removing their emotions entirely due to not being able to handle them any longer or becoming obsessed with the past when they were happy. With this we get great emotional depth from all the characters as we can understand and even possibly relate to all the pain that they are going through. But the centre relationship is the heartwarming relationship between Ben and his sister. He is going through a difficult period of his life, at times being selfish and even cruel because of his his reeling from the loss of his mother. But as the film goes on we watch many beautiful scenes where we see he is a brother willing to go any length to save his sister.I could draw all kinds of comparisons about this films to other animated gems. I could say that it has the sense of childlike wonder that you see in a Disney film. I could say that the film delivers the same spirit of adventure of a Ghibli film. But comparisons like this do the film a disservice. This film stands in its own right delivering a unique animation style and focus on Irish culture not quite like any I've seen before. It is truly a masterpiece."
18,Song of the Sea,10,2 July 2015,Where to begin... THIS is what animation should be doing,"Let me begin with saying: Song of the Sea is hands down the best animated film of 2014 and probably one of the best animated movies in the last... 80 years. Song of the Sea does what a lot of animators have forgotten what animation does: It does what real-life can't. It tells stories. IT HAS MAGIC IN THE DRAWINGS.Just looking at Song of the Sea is amazing in itself. While a lot of animated movies will set a nice looking atmosphere, rarely is every shot a piece in itself. Song of the Sea is beautiful in EVERY shot. There is not a single shot that hasn't been carefully constructed. And this is just one of the many great elements of this animation. Even without its good story-telling and great soundtrack, it is still one of the most beautiful animations to date. Now, the story itself can be a little bit confusing without a little prior knowledge on Irish mythology, but the movie explains most of what is needed to be known. The one advantage this movie has in story-telling is that the whole film is treated like a classic fairy-tale. Things sort of just... happen... and fall into place. This isn't done in a lazy way, but it is done in a very dream-like way so the story just naturally flows. This may sound weird, but upon viewing it it will make more sense what I'm trying to say. This effect is created mostly through minimal dialogue. There are certain spans of time in the movie where no one talks for five minutes or so. And this isn't just one scene, the movie consistently lacks dialogue and tells its story mostly through visuals. I will say this as a mild warning: THIS FILM IS NOT FOR EVERYONE.Because the film tells its story almost entirely through visuals and minimal dialogue, I could imagine it dragging for some people. This isn't the kind of animated film that uses animation to tell jokes, it is the kind of animated film that wants you to get lost in its world.On an additional note, the movie's soundtrack is very good. It is gentle, quite, and peaceful, without ever getting too big and bold. This helps keep the atmosphere consistent.Lastly, I will say what makes me even happier about this film is that it was made on a micro-budget compared to Disney, yet made an infinitely better animated film than Disney (or even Studio Ghibli) has made in some years. This movie proves that hard work, dedication, and simple beauty, can make one of the most visually impressive animated films in quite some time, and yet it still has a small budget. This proves that budget doesn't make an animated film look good.Long story short, I won't talk about the details of this masterpiece, but I will conclude that I hope to see more animated films from Tomm Moore... A LOT MORE animated films.A true inspiration for fellow animators."
19,Song of the Sea,9,8 February 2015,An Irish Gem,"Greetings again from the darkness. Fans of animation can expect to experience a bit of nostalgia as they treasure the rare hand-drawn works of animator Tomm Moore. However, Mr. Moore's artistry may even be exceeded by his extraordinary story telling ability. This gem from Ireland is an Oscar nominee for Best Animated Feature, as was Mr. Moore's The Secret of Kells (a runner-up that year to Up). It's a top notch family movie filled with adventure, fantasy, emotion and characters worth caring about.Young Ben lives an ideal life with his lighthouse caretaker father, pregnant mother, and beloved dog Cu on an isolated island. Ideal that is, until the ""Bambi's mother"" moment, which 6 years later, finds Ben's dad still in mourning, while Ben flashes animosity and blame towards his mute little sister, Saoirse (pronounced Sir-sha). What we as viewers soon learn is that cute little Saoirse is a selkie  just like her mother was. Irish and Scottish legend states that selkies can transform themselves from people to seals, and have a real connection with the sea and the fairy world.When the over-bearing, know-it-all granny decides that an island is no place to raise kids, she moves Ben and Saoirse to the big city  sans dog and dad. Of course, this is a terrible idea and the two kids are soon enough off on an adventure of self-discovery and rescue. They run into 3 of the remaining fairies who know that selkie Saoirse is their only hope with her magic sea shell (from her mom) and her as yet undiscovered singing voice. It turns out the songs Ben's mom taught him, when sung by Saoirse, can free the souls of the fairies turned to stone by the evil owl witch Macha. The real fun is in the details of their adventure.Moore's story has the feel of an ancient folk tale and legend, with a dose of mythology. Since the story coincides with Halloween, it also adds an additional element of creatures, real vs pretend. As you can see, the story is no mindless cartoon. It contains much emotion tied to the brother/sister battles, the loss of a parent, nosy relatives, and the path of discovering one's own self  even through the eyes of children. Terrific voice work comes courtesy of Brendan Gleeson, Fionnula Flanagan, David Rawle (Ben), and Lucy O'Connell (Saoirse). It's a timeless story that, amongst other things, is a legitimate Oscar contender while reminding brothers to be nice to their sister!"
